Type,Amount,Day,Store,
Rent,"$1,450.00",1,Rent,
Pay,$2718.60,14,Payday,
Grocery,$61.57,1,Zona Sul Mercado,
Extra,$20.39,2,Sirley Capas,
Transport,$6.34,2,Uber,
Out,$19.57,2,Paraiso Lanchonete,
Essentials,$31.44,3,Drogaria,
Out,$5.61,3,Star 93,
Grocery,$25.34,3,Zona Sul Mercado,
Drinks,$25.23,4,Rio Bar,
Essentials,$23.29,4,Drogaria,
Grocery,$23.36,4,Zona Sul Mercado,
eTransfer,$21.83,4,Netflix refund,
Out,$30.70,5,J H Bar,
Extra,$123.45,6,Cacia Pratas,
Extra,$56.70,6,Decoarte,
Extra,$175.24,6,Hering Catete,
Extra,$3.86,6,Postcards,
Out,$10.74,7,1am cafe,
Extra,$143.96,7,Fuel Bossa Nova,
Out,$37.23,7,Bamba,
Out,$72.88,8,Dinamite Sao Conrado,
Extra,$99.03,8,Destiliria,
Out,$6.17,9,Nataniel Henrique,
Out,$153.58,9,Sushi vila,
Out,$15.44,10,Il Barista cafes,
Extra,$82.25,10,Riachuelo,
Out,$46.67,10,Anhembi,
Extra,$79.68,11,NaMatta,
Out,$25.56,11,Sushi Bar,
Transport,$34.49,12,Communauto,
Travel,$103.46,12,Delta extra bag,
Out,$15.31,13,Starbucks,
Transport,$43.33,13,Uber,
Out,$33.72,13,Mandy's,
Monthly,$57.49,13,Oxio,
Grocery,$51.92,13,IGA,
Grocery,$20.87,14,Boulangerie,
Monthly,$14.21,14,Spotify,
Monthly,$7.00,14,Canadaland,
Invest,$200.00,14,Invest,
Essentials,$6.31,15,Jean Coutu,
Extra,$64.47,15,Studio Argentique,
Out,$13.22,15,Cafe chez teta,
Grocery,$153.76,15,IGA,
Extra,$4.00,15,Newspeak,
Out,$17.58,16,Kojax Eaton Center,
Drinks,$58.16,16,Mckibbin's,
Grocery,$39.50,17,IGA,
Monthly,$79.91,19,Hydro Quebec,
Monthly,$10.84,19,Communauto,
Out,$22.94,19,Olu Olu Poke,
Extra,$30.46,19,Famous Players,
Monthly,$38.08,20,Public Mobile,
Grocery,$120.32,20,IGA,
Out,$16.89,21,Boustan,
Grocery,$69.35,21,Milano,
Monthly,$14.55,22,Youtube Premium,
Grocery,$34.90,23,Poissonnerie,
Grocery,$3.00,23,Ferm Lussier,
Grocery,$6.75,23,Boulangerie,
Out,$9.28,23,Cafe Chiado,
Drinks,$21.83,23,Bar Yisst,
Extra,$415.00,15,YMCA,
Grocery,$18.15,23,IGA,
Out,$14.01,26,Ma Poule Mouille,
Grocery,$43.09,27,IGA,
Monthly,$45.18,27,Tenant Insurance,
Extra,$21.46,28,Netflix,
Travel,$209.59,29,Westjet,
Extra,$14.94,29,Librarie Renaud Bray,
Out,$49.50,29,Kasaisuta Sushi,
Out,$50.18,29,Pizzaria Alea,
Grocery,$10.35,29,Sabor Latino,
Essentials,$79.97,29,Quincaillerie,
Extra,$6.90,29,Les Voisines,
Monthly,$1.48,29,Apple,
Grocery,$56.72,30,IGA,
Extra,$28.73,31,Apple,
Pay,$2718.60,28,Payday,
Invest,$200.00,28,Invest,